Fecha,Comuna,Casos Confirmados,CUT
31-03-2020,Paredones,0,06206
31-03-2020,Peralillo,0,06307
31-03-2020,Peumo,0,06112
31-03-2020,Pichidegua,0,06113
31-03-2020,Pichilemu,0,06201
31-03-2020,Placilla,1,06308
31-03-2020,Pumanque,0,06309
31-03-2020,Quinta de Tilcoco,2,06114
31-03-2020,Rancagua,7,06101
31-03-2020,Rengo,1,06115
31-03-2020,Requínoa,1,06116
31-03-2020,San Fernando,4,06301
31-03-2020,San Vicente,1,06117
31-03-2020,Santa Cruz,0,06310
31-03-2020,Cauquenes,1,07201
31-03-2020,Chanco,0,07202
31-03-2020,Colbún,4,07402
31-03-2020,Constitución,1,07102
31-03-2020,Curepto,0,07103
31-03-2020,Curicó,8,07301
31-03-2020,Empedrado,0,07104
31-03-2020,Hualañé,0,07302
31-03-2020,Licantén,0,07303
31-03-2020,Linares,6,07401
31-03-2020,Longaví,1,07403
31-03-2020,Maule,2,07105
31-03-2020,Molina,3,07304
31-03-2020,Parral,3,07404
31-03-2020,Pelarco,0,07106
31-03-2020,Pelluhue,1,07203
31-03-2020,Pencahue,0,07107
31-03-2020,Rauco,0,07305
31-03-2020,Retiro,0,07405
31-03-2020,Río Claro,1,07108
31-03-2020,Romeral,2,07306
31-03-2020,Sagrada Familia,0,07307
31-03-2020,San Clemente,0,07109
31-03-2020,San Javier,1,07406
31-03-2020,San Rafael,0,07110
31-03-2020,Talca,37,07101
31-03-2020,Teno,0,07308
31-03-2020,Vichuquén,0,07309
31-03-2020,Villa Alegre,0,07407
31-03-2020,Yerbas Buenas,0,07408
31-03-2020,Bulnes,18,16102
31-03-2020,Chillán,173,16101
31-03-2020,Chillán Viejo,22,16103
31-03-2020,Cobquecura,0,16202
31-03-2020,Coelemu,1,16203
31-03-2020,Coihueco,3,16302
31-03-2020,El Carmen,2,16104
31-03-2020,Ninhue,0,16204
31-03-2020,Ñiquén,0,16303
31-03-2020,Pemuco,0,16105
31-03-2020,Pinto,2,16106
31-03-2020,Portezuelo,0,16205
31-03-2020,Quillón,7,16107
31-03-2020,Quirihue,0,16201
31-03-2020,Ránquil,1,16206
31-03-2020,San Carlos,13,16301
31-03-2020,San Fabián,5,16304
31-03-2020,San Ignacio,1,16108
31-03-2020,San Nicolás,2,16305
31-03-2020,Treguaco,0,16207
31-03-2020,Yungay,7,16109
31-03-2020,Alto Biobío,0,08314
31-03-2020,Antuco,0,08302
31-03-2020,Arauco,5,08202
31-03-2020,Cabrero,0,08303
31-03-2020,Cañete,0,08203
31-03-2020,Chiguayante,18,08103
31-03-2020,Concepción,47,08101
31-03-2020,Contulmo,0,08204
31-03-2020,Coronel,11,08102
31-03-2020,Curanilahue,1,08205
31-03-2020,Florida,0,08104
31-03-2020,Hualpén,39,08112
31-03-2020,Hualqui,3,08105
31-03-2020,Laja,2,08304
31-03-2020,Lebu,0,08201
31-03-2020,Los Álamos,0,08206
31-03-2020,Los Ángeles,15,08301
31-03-2020,Lota,0,08106
31-03-2020,Mulchén,5,08305
31-03-2020,Nacimiento,2,08306
31-03-2020,Negrete,0,08307
31-03-2020,Penco,1,08107
31-03-2020,Quilaco,0,08308
31-03-2020,Quilleco,0,08309
31-03-2020,San Pedro de la Paz,50,08108
31-03-2020,San Rosendo,0,08310
31-03-2020,Santa Bárbara,2,08311
31-03-2020,Santa Juana,0,08109
31-03-2020,Talcahuano,23,08110
31-03-2020,Tirúa,0,08207
31-03-2020,Tomé,6,08111
31-03-2020,Tucapel,0,08312
31-03-2020,Yumbel,5,08313
31-03-2020,Angol,13,09201
31-03-2020,Carahue,2,09102
31-03-2020,Cholchol,2,09121
31-03-2020,Collipulli,0,09202
31-03-2020,Cunco,0,09103
