Fecha,CUT,Region,Comuna,Casos Confirmados
01-04-2020,9207,AR,Lumaco,0
01-04-2020,9110,AR,Melipeuco,0
01-04-2020,9111,AR,Nueva Imperial,2
01-04-2020,9112,AR,Padre Las Casas,14
01-04-2020,9113,AR,Perquenco,1
01-04-2020,9114,AR,Pitrufquén,6
01-04-2020,9115,AR,Pucón,3
01-04-2020,9208,AR,Purén,1
01-04-2020,9209,AR,Renaico,0
01-04-2020,9116,AR,Saavedra,0
01-04-2020,9101,AR,Temuco,225
01-04-2020,9117,AR,Teodoro Schmidt,4
01-04-2020,9118,AR,Toltén,3
01-04-2020,9210,AR,Traiguén,0
01-04-2020,9211,AR,Victoria,7
01-04-2020,9119,AR,Vilcún,5
01-04-2020,9120,AR,Villarrica,4
01-04-2020,14102,LR,Corral,0
01-04-2020,14202,LR,Futrono,2
01-04-2020,14201,LR,La Unión,9
01-04-2020,14203,LR,Lago Ranco,1
01-04-2020,14103,LR,Lanco,1
01-04-2020,14104,LR,Los Lagos,0
01-04-2020,14105,LR,Máfil,1
01-04-2020,14106,LR,Mariquina,2
01-04-2020,14107,LR,Paillaco,1
01-04-2020,14108,LR,Panguipulli,0
01-04-2020,14204,LR,Río Bueno,2
01-04-2020,14101,LR,Valdivia,45
01-04-2020,10202,LL,Ancud,0
01-04-2020,10102,LL,Calbuco,5
01-04-2020,10201,LL,Castro,1
01-04-2020,10401,LL,Chaitén,1
01-04-2020,10203,LL,Chonchi,0
01-04-2020,10103,LL,Cochamó,0
01-04-2020,10204,LL,Curaco de Vélez,0
01-04-2020,10205,LL,Dalcahue,0
01-04-2020,10104,LL,Fresia,0
01-04-2020,10105,LL,Frutillar,0
01-04-2020,10402,LL,Futaleufú,0
01-04-2020,10403,LL,Hualaihué,3
01-04-2020,10107,LL,Llanquihue,0
01-04-2020,10106,LL,Los Muermos,1
01-04-2020,10108,LL,Maullín,0
