ID_C_AUC,N_1A7D,N_8A14D,N_15a21d,N_22a28d
1313,2,0,1,0
1314,0,0,0,0
1315,4,3,3,4
1316,1,0,0,1
1317,0,0,0,0
1318,2,4,12,2
1319,1,4,9,1
1320,0,0,0,0
1321,0,0,0,0
1322,2,4,6,1
1323,0,0,0,0
1324,0,0,0,0
1325,0,0,0,0
1326,0,0,0,0
1327,0,0,0,0
1328,0,0,0,0
1329,0,0,0,0
1330,0,0,0,0
1331,0,1,3,1
1332,0,0,0,0
1333,0,0,0,0
1334,0,0,0,0
1335,2,2,4,4
1336,0,0,0,0
1337,0,0,0,0
1338,0,0,0,0
1339,0,0,0,0
1340,0,1,0,0
1341,0,0,0,0
1342,0,0,0,0
1343,0,0,0,0
1344,0,0,0,0
1345,0,0,0,1
1346,0,0,0,0
1347,0,0,0,0
