ID_C_AUC,NOMBRE,COD_REGION,COD_COMUNA,COMUNA,X1,Y1,X2,Y2,X3,Y3,X4,Y4
7110,Gran Concepción,8,8112,HUALPÉN,-8137643.9959083,-4409699.25730102,-8138888.45324805,-4409645.50901133,-8138834.87583618,-4408395.75644989,-8137590.5631267,-4408449.48095902
7111,Gran Concepción,8,8112,HUALPÉN,-8136399.51486276,-4409752.86029545,-8137643.9959083,-4409699.25730102,-8137590.5631267,-4408449.48095902,-8136346.22672231,-4408503.06023682
7112,Gran Concepción,8,8112,HUALPÉN,-8135155.01017524,-4409806.31798371,-8136399.51486276,-4409752.86029545,-8136346.22672231,-4408503.06023682,-8135101.86668681,-4408556.4942724
7113,Gran Concepción,8,8112,HUALPÉN,-8133910.48190958,-4409859.63035493,-8135155.01017524,-4409806.31798371,-8135101.86668681,-4408556.4942724,-8133857.483084,-4408609.78305488
7114,Gran Concepción,8,8110,TALCAHUANO,-8132665.93012962,-4409912.79739825,-8133910.48190958,-4409859.63035493,-8133857.483084,-4408609.78305488,-8132613.07597768,-4408662.92657342
7115,Gran Concepción,8,8101,CONCEPCIÓN,-8131421.35489919,-4409965.81910285,-8132665.93012962,-4409912.79739825,-8132613.07597768,-4408662.92657342,-8131368.64543168,-4408715.92481722
7116,Gran Concepción,8,8101,CONCEPCIÓN,-8130176.75628215,-4410018.69545795,-8131421.35489919,-4409965.81910285,-8131368.64543168,-4408715.92481722,-8130124.19150981,-4408768.77777548
7117,Gran Concepción,8,8107,PENCO,-8128932.13434237,-4410071.42645277,-8130176.75628215,-4410018.69545795,-8130124.19150981,-4408768.77777548,-8128879.71427592,-4408821.48543744
7118,Gran Concepción,8,8107,PENCO,-8127687.48914372,-4410124.01207659,-8128932.13434237,-4410071.42645277,-8128879.71427592,-4408821.48543744,-8127635.21379383,-4408874.0477924
7119,San Miguel,16,16108,SAN IGNACIO,-8011842.6852076,-4414377.66982198,-8013089.21333655,-4414338.64656985,-8013050.29372408,-4413086.81623918,-8011803.91117801,-4413125.82220352
7120,San Miguel,16,16108,SAN IGNACIO,-8010596.13985418,-4414416.54682493,-8011842.6852076,-4414377.66982198,-8011803.91117801,-4413125.82220352,-8010557.51141539,-4413164.68198328
7121,San Miguel,16,16108,SAN IGNACIO,-8010596.13985418,-4414416.54682493,-8010557.51141539,-4413164.68198328,-8009311.0945007,-4413203.39557052,-8009349.57734077,-4414455.27757074
7122,Gran Concepción,8,8112,HUALPÉN,-8140186.6326828,-4410841.48816285,-8141431.1870917,-4410787.42539611,-8141377.29655489,-4409537.57658995,-8140132.88681818,-4409591.61543732
7123,Gran Concepción,8,8112,HUALPÉN,-8138942.05442952,-4410895.40559229,-8140186.6326828,-4410841.48816285,-8140132.88681818,-4409591.61543732,-8138888.45324805,-4409645.50901133
7124,Gran Concepción,8,8112,HUALPÉN,-8137697.45239569,-4410949.17767344,-8138942.05442952,-4410895.40559229,-8138888.45324805,-4409645.50901133,-8137643.9959083,-4409699.25730102
7125,Gran Concepción,8,8112,HUALPÉN,-8136452.82664518,-4411002.80439538,-8137697.45239569,-4410949.17767344,-8137643.9959083,-4409699.25730102,-8136399.51486276,-4409752.86029545
7126,Gran Concepción,8,8112,HUALPÉN,-8135208.17724182,-4411056.28574717,-8136452.82664518,-4411002.80439538,-8136399.51486276,-4409752.86029545,-8135155.01017524,-4409806.31798371
7127,Gran Concepción,8,8112,HUALPÉN,-8133963.50424947,-4411109.62171794,-8135208.17724182,-4411056.28574717,-8135155.01017524,-4409806.31798371,-8133910.48190958,-4409859.63035493
7128,Gran Concepción,8,8112,HUALPÉN,-8132718.80773201,-4411162.81229683,-8133963.50424947,-4411109.62171794,-8133910.48190958,-4409859.63035493,-8132665.93012962,-4409912.79739825
7129,Gran Concepción,8,8101,CONCEPCIÓN,-8131474.0877533,-4411215.85747299,-8132718.80773201,-4411162.81229683,-8132665.93012962,-4409912.79739825,-8131421.35489919,-4409965.81910285
7130,Gran Concepción,8,8101,CONCEPCIÓN,-8130229.34437724,-4411268.75723565,-8131474.0877533,-4411215.85747299,-8131421.35489919,-4409965.81910285,-8130176.75628215,-4410018.69545795
7131,Gran Concepción,8,8101,CONCEPCIÓN,-8128984.57766771,-4411321.51157403,-8130229.34437724,-4411268.75723565,-8130176.75628215,-4410018.69545795,-8128932.13434237,-4410071.42645277
7132,Gran Concepción,8,8101,CONCEPCIÓN,-8127739.7876886,-4411374.12047739,-8128984.57766771,-4411321.51157403,-8128932.13434237,-4410071.42645277,-8127687.48914372,-4410124.01207659
7133,Juan Riquelme,8,8101,CONCEPCIÓN,-8121515.49098642,-4411634.98309496,-8122760.39635466,-4411583.1015268,-8122708.67703794,-4410332.90064819,-8121463.91650318,-4410384.759257
7134,Juan Riquelme,8,8101,CONCEPCIÓN,-8120270.56273214,-4411686.71916426,-8121515.49098642,-4411634.98309496,-8121463.91650318,-4410384.759257,-8120219.13309292,-4410436.47243103
7135,Florida,8,8104,FLORIDA,-8086649.08279243,-4413028.55665975,-8087894.60477276,-4412980.75294681,-8087846.94467509,-4411729.93344626,-8086601.56781182,-4411777.71599634
7136,Santa Clara,16,16102,BULNES,-8050520.03066115,-4414351.41014778,-8051766.13826129,-4414307.83797548,-8051722.69039106,-4413056.43086707,-8050476.7281775,-4413099.9837428
7137,Quiriquina,16,16108,SAN IGNACIO,-8025593.92602751,-4415192.17090492,-8026840.40599044,-4415151.52143809,-8026799.86750054,-4413899.74065146,-8025553.53309568,-4413940.37211193
7138,Recinto - Los Lleuques,16,16106,PINTO,-7976967.85025625,-4416663.36601004,-7978214.98213317,-4416628.42515664,-7978180.12626239,-4415375.990022,-7976933.14024397,-4415410.91539151
